file_origin	stimulus	brain_region
2025_03_06_0010.abf	100	CA1
2025_03_06_0010.abf	100	CA1
2025_03_06_0010.abf	100	CA1
2025_03_06_0010.abf	150	CA1
2025_03_06_0010.abf	150	CA1
2025_03_06_0010.abf	150	CA1
2025_03_06_0010.abf	200	CA1
2025_03_06_0010.abf	200	CA1
2025_03_06_0010.abf	200	CA1
2025_03_06_0010.abf	250	CA1
2025_03_06_0010.abf	250	CA1
2025_03_06_0010.abf	250	CA1
2025_03_06_0010.abf	300	CA1
2025_03_06_0010.abf	300	CA1
2025_03_06_0010.abf	300	CA1
2025_03_06_0010.abf	400	CA1
2025_03_06_0010.abf	400	CA1
2025_03_06_0010.abf	400	CA1
2025_03_06_0010.abf	500	CA1
2025_03_06_0010.abf	500	CA1
2025_03_06_0010.abf	500	CA1
2025_03_06_0010.abf	600	CA1
2025_03_06_0010.abf	600	CA1
2025_03_06_0010.abf	600	CA1
2025_03_07_0002.abf	25	CA1
2025_03_07_0002.abf	25	CA1
2025_03_07_0002.abf	25	CA1
2025_03_07_0002.abf	50	CA1
2025_03_07_0002.abf	50	CA1
2025_03_07_0002.abf	50	CA1
2025_03_07_0002.abf	75	CA1
2025_03_07_0002.abf	75	CA1
2025_03_07_0002.abf	75	CA1
2025_03_07_0002.abf	100	CA1
2025_03_07_0002.abf	100	CA1
2025_03_07_0002.abf	100	CA1
2025_03_07_0002.abf	150	CA1
2025_03_07_0002.abf	150	CA1
2025_03_07_0002.abf	150	CA1
2025_03_07_0002.abf	200	CA1
2025_03_07_0002.abf	200	CA1
2025_03_07_0002.abf	200	CA1
2025_03_07_0002.abf	250	CA1
2025_03_07_0002.abf	250	CA1
2025_03_07_0002.abf	250	CA1
2025_03_07_0002.abf	300	CA1
2025_03_07_0002.abf	300	CA1
2025_03_07_0002.abf	300	CA1
2025_03_07_0002.abf	400	CA1
2025_03_07_0002.abf	400	CA1
2025_03_07_0002.abf	400	CA1
2025_03_07_0002.abf	500	CA1
2025_03_07_0002.abf	500	CA1
2025_03_07_0002.abf	500	CA1
2025_03_07_0002.abf	600	CA1
2025_03_07_0002.abf	600	CA1
2025_03_07_0002.abf	600	CA1
2025_03_07_0005.abf	25	DG
2025_03_07_0005.abf	25	DG
2025_03_07_0005.abf	25	DG
2025_03_07_0005.abf	50	DG
2025_03_07_0005.abf	50	DG
2025_03_07_0005.abf	50	DG
2025_03_07_0005.abf	75	DG
2025_03_07_0005.abf	75	DG
2025_03_07_0005.abf	75	DG
2025_03_07_0005.abf	100	DG
2025_03_07_0005.abf	100	DG
2025_03_07_0005.abf	100	DG
2025_03_07_0005.abf	150	DG
2025_03_07_0005.abf	150	DG
2025_03_07_0005.abf	150	DG
2025_03_07_0005.abf	200	DG
2025_03_07_0005.abf	200	DG
2025_03_07_0005.abf	200	DG
2025_03_07_0005.abf	250	DG
2025_03_07_0005.abf	250	DG
2025_03_07_0005.abf	250	DG
2025_03_07_0005.abf	300	DG
2025_03_07_0005.abf	300	DG
2025_03_07_0005.abf	300	DG
2025_03_07_0005.abf	400	DG
2025_03_07_0005.abf	400	DG
2025_03_07_0005.abf	400	DG
2025_03_07_0005.abf	500	DG
2025_03_07_0005.abf	500	DG
2025_03_07_0005.abf	500	DG
2025_03_07_0005.abf	600	DG
2025_03_07_0005.abf	600	DG
2025_03_07_0005.abf	600	DG
2025_03_07_0007.abf	25	DG
2025_03_07_0007.abf	25	DG
2025_03_07_0007.abf	25	DG
2025_03_07_0007.abf	50	DG
2025_03_07_0007.abf	50	DG
2025_03_07_0007.abf	50	DG
2025_03_07_0007.abf	75	DG
2025_03_07_0007.abf	75	DG
2025_03_07_0007.abf	75	DG
2025_03_07_0007.abf	100	DG
2025_03_07_0007.abf	100	DG
2025_03_07_0007.abf	100	DG
2025_03_07_0007.abf	150	DG
2025_03_07_0007.abf	150	DG
2025_03_07_0007.abf	150	DG
2025_03_07_0007.abf	200	DG
2025_03_07_0007.abf	200	DG
2025_03_07_0007.abf	200	DG
2025_03_07_0007.abf	250	DG
2025_03_07_0007.abf	250	DG
2025_03_07_0007.abf	250	DG
2025_03_07_0007.abf	300	DG
2025_03_07_0007.abf	300	DG
2025_03_07_0007.abf	300	DG
2025_03_07_0007.abf	400	DG
2025_03_07_0007.abf	400	DG
2025_03_07_0007.abf	400	DG
2025_03_07_0007.abf	500	DG
2025_03_07_0007.abf	500	DG
2025_03_07_0007.abf	500	DG
2025_03_07_0007.abf	600	DG
2025_03_07_0007.abf	600	DG
2025_03_07_0007.abf	600	DG
2025_03_07_0008.abf	25	CA1
2025_03_07_0008.abf	25	CA1
2025_03_07_0008.abf	25	CA1
2025_03_07_0008.abf	50	CA1
2025_03_07_0008.abf	50	CA1
2025_03_07_0008.abf	50	CA1
2025_03_07_0008.abf	75	CA1
2025_03_07_0008.abf	75	CA1
2025_03_07_0008.abf	75	CA1
2025_03_07_0008.abf	100	CA1
2025_03_07_0008.abf	100	CA1
2025_03_07_0008.abf	100	CA1
2025_03_07_0008.abf	150	CA1
2025_03_07_0008.abf	150	CA1
2025_03_07_0008.abf	150	CA1
2025_03_07_0008.abf	200	CA1
2025_03_07_0008.abf	200	CA1
2025_03_07_0008.abf	200	CA1
2025_03_07_0008.abf	250	CA1
2025_03_07_0008.abf	250	CA1
2025_03_07_0008.abf	250	CA1
2025_03_07_0008.abf	300	CA1
2025_03_07_0008.abf	300	CA1
2025_03_07_0008.abf	300	CA1
2025_03_07_0008.abf	400	CA1
2025_03_07_0008.abf	400	CA1
2025_03_07_0008.abf	400	CA1
2025_03_07_0008.abf	500	CA1
2025_03_07_0008.abf	500	CA1
2025_03_07_0008.abf	500	CA1
2025_03_07_0008.abf	600	CA1
2025_03_07_0008.abf	600	CA1
2025_03_07_0008.abf	600	CA1
2025_03_07_0009.abf	25	DG
2025_03_07_0009.abf	25	DG
2025_03_07_0009.abf	25	DG
2025_03_07_0009.abf	50	DG
2025_03_07_0009.abf	50	DG
2025_03_07_0009.abf	50	DG
2025_03_07_0009.abf	75	DG
2025_03_07_0009.abf	75	DG
2025_03_07_0009.abf	75	DG
2025_03_07_0009.abf	100	DG
2025_03_07_0009.abf	100	DG
2025_03_07_0009.abf	100	DG
2025_03_07_0009.abf	150	DG
2025_03_07_0009.abf	150	DG
2025_03_07_0009.abf	150	DG
2025_03_07_0009.abf	200	DG
2025_03_07_0009.abf	200	DG
2025_03_07_0009.abf	200	DG
2025_03_07_0009.abf	250	DG
2025_03_07_0009.abf	250	DG
2025_03_07_0009.abf	250	DG
2025_03_07_0009.abf	300	DG
2025_03_07_0009.abf	300	DG
2025_03_07_0009.abf	300	DG
2025_03_07_0009.abf	400	DG
2025_03_07_0009.abf	400	DG
2025_03_07_0009.abf	400	DG
2025_03_07_0009.abf	500	DG
2025_03_07_0009.abf	500	DG
2025_03_07_0009.abf	500	DG
2025_03_07_0009.abf	600	DG
2025_03_07_0009.abf	600	DG
2025_03_07_0009.abf	600	DG
2025_05_22_0000.abf	25	CA1
2025_05_22_0000.abf	25	CA1
2025_05_22_0000.abf	25	CA1
2025_05_22_0000.abf	50	CA1
2025_05_22_0000.abf	50	CA1
2025_05_22_0000.abf	50	CA1
2025_05_22_0000.abf	75	CA1
2025_05_22_0000.abf	75	CA1
2025_05_22_0000.abf	75	CA1
2025_05_22_0000.abf	100	CA1
2025_05_22_0000.abf	100	CA1
2025_05_22_0000.abf	100	CA1
2025_05_22_0000.abf	150	CA1
2025_05_22_0000.abf	150	CA1
2025_05_22_0000.abf	150	CA1
2025_05_22_0000.abf	200	CA1
2025_05_22_0000.abf	200	CA1
2025_05_22_0000.abf	200	CA1
2025_05_22_0000.abf	250	CA1
2025_05_22_0000.abf	250	CA1
2025_05_22_0000.abf	250	CA1
2025_05_22_0000.abf	300	CA1
2025_05_22_0000.abf	300	CA1
2025_05_22_0000.abf	300	CA1
2025_05_22_0000.abf	400	CA1
2025_05_22_0000.abf	400	CA1
2025_05_22_0000.abf	400	CA1
2025_05_22_0000.abf	500	CA1
2025_05_22_0000.abf	500	CA1
2025_05_22_0000.abf	500	CA1
2025_05_22_0000.abf	600	CA1
2025_05_22_0000.abf	600	CA1
2025_05_22_0000.abf	600	CA1
2025_05_22_0001.abf	25	DG
2025_05_22_0001.abf	25	DG
2025_05_22_0001.abf	25	DG
2025_05_22_0001.abf	50	DG
2025_05_22_0001.abf	50	DG
2025_05_22_0001.abf	50	DG
2025_05_22_0001.abf	75	DG
2025_05_22_0001.abf	75	DG
2025_05_22_0001.abf	75	DG
2025_05_22_0001.abf	100	DG
2025_05_22_0001.abf	100	DG
2025_05_22_0001.abf	100	DG
2025_05_22_0001.abf	150	DG
2025_05_22_0001.abf	150	DG
2025_05_22_0001.abf	150	DG
2025_05_22_0001.abf	200	DG
2025_05_22_0001.abf	200	DG
2025_05_22_0001.abf	200	DG
2025_05_22_0001.abf	250	DG
2025_05_22_0001.abf	250	DG
2025_05_22_0001.abf	250	DG
2025_05_22_0001.abf	300	DG
2025_05_22_0001.abf	300	DG
2025_05_22_0001.abf	300	DG
2025_05_22_0001.abf	400	DG
2025_05_22_0001.abf	400	DG
2025_05_22_0001.abf	400	DG
2025_05_22_0001.abf	500	DG
2025_05_22_0001.abf	500	DG
2025_05_22_0001.abf	500	DG
2025_05_22_0001.abf	600	DG
2025_05_22_0001.abf	600	DG
2025_05_22_0001.abf	600	DG
2025_05_22_0005.abf	25	DG
2025_05_22_0005.abf	25	DG
2025_05_22_0005.abf	25	DG
2025_05_22_0005.abf	50	DG
2025_05_22_0005.abf	50	DG
2025_05_22_0005.abf	50	DG
2025_05_22_0005.abf	75	DG
2025_05_22_0005.abf	75	DG
2025_05_22_0005.abf	75	DG
2025_05_22_0005.abf	100	DG
2025_05_22_0005.abf	100	DG
2025_05_22_0005.abf	100	DG
2025_05_22_0005.abf	150	DG
2025_05_22_0005.abf	150	DG
2025_05_22_0005.abf	150	DG
2025_05_22_0005.abf	200	DG
2025_05_22_0005.abf	200	DG
2025_05_22_0005.abf	200	DG
2025_05_22_0005.abf	250	DG
2025_05_22_0005.abf	250	DG
2025_05_22_0005.abf	250	DG
2025_05_22_0005.abf	300	DG
2025_05_22_0005.abf	300	DG
2025_05_22_0005.abf	300	DG
2025_05_22_0005.abf	400	DG
2025_05_22_0005.abf	400	DG
2025_05_22_0005.abf	400	DG
2025_05_22_0005.abf	500	DG
2025_05_22_0005.abf	500	DG
2025_05_22_0005.abf	500	DG
2025_05_22_0005.abf	600	DG
2025_05_22_0005.abf	600	DG
2025_05_22_0005.abf	600	DG
2025_05_22_0006.abf	25	CA1
2025_05_22_0006.abf	25	CA1
2025_05_22_0006.abf	25	CA1
2025_05_22_0006.abf	50	CA1
2025_05_22_0006.abf	50	CA1
2025_05_22_0006.abf	50	CA1
2025_05_22_0006.abf	75	CA1
2025_05_22_0006.abf	75	CA1
2025_05_22_0006.abf	75	CA1
2025_05_22_0006.abf	100	CA1
2025_05_22_0006.abf	100	CA1
2025_05_22_0006.abf	100	CA1
2025_05_22_0006.abf	150	CA1
2025_05_22_0006.abf	150	CA1
2025_05_22_0006.abf	150	CA1
2025_05_22_0006.abf	200	CA1
2025_05_22_0006.abf	200	CA1
2025_05_22_0006.abf	200	CA1
2025_05_22_0006.abf	250	CA1
2025_05_22_0006.abf	250	CA1
2025_05_22_0006.abf	250	CA1
2025_05_22_0006.abf	300	CA1
2025_05_22_0006.abf	300	CA1
2025_05_22_0006.abf	300	CA1
2025_05_22_0006.abf	400	CA1
2025_05_22_0006.abf	400	CA1
2025_05_22_0006.abf	400	CA1
2025_05_22_0006.abf	500	CA1
2025_05_22_0006.abf	500	CA1
2025_05_22_0006.abf	500	CA1
2025_05_22_0006.abf	600	CA1
2025_05_22_0006.abf	600	CA1
2025_05_22_0006.abf	600	CA1
